message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,813123])";"30";"turtlesim3.sim";"1726067232.884043531";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,803227])";"30";"turtlesim2.sim";"1726067232.883987899";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,793330])";"30";"turtlesim1.sim";"1726067232.883033721";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,813123])";"30";"turtlesim2.sim";"1726067232.868442302";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,803227])";"30";"turtlesim1.sim";"1726067232.867448010";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,823019])";"30";"turtlesim3.sim";"1726067232.867185086";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,823019])";"30";"turtlesim2.sim";"1726067232.852623444";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,832915])";"30";"turtlesim3.sim";"1726067232.851501807";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,813123])";"30";"turtlesim1.sim";"1726067232.850878176";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,832915])";"30";"turtlesim2.sim";"1726067232.836724839";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,842811])";"30";"turtlesim3.sim";"1726067232.835407453";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,823019])";"30";"turtlesim1.sim";"1726067232.835211042";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,842811])";"30";"turtlesim2.sim";"1726067232.820862611";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,852707])";"30";"turtlesim3.sim";"1726067232.819903374";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,832915])";"30";"turtlesim1.sim";"1726067232.819604548";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,852707])";"30";"turtlesim2.sim";"1726067232.804054301";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,862603])";"30";"turtlesim3.sim";"1726067232.803771888";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,842811])";"30";"turtlesim1.sim";"1726067232.802963615";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,862603])";"30";"turtlesim2.sim";"1726067232.788408244";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,872499])";"30";"turtlesim3.sim";"1726067232.787900910";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,852707])";"30";"turtlesim1.sim";"1726067232.787282053";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,872499])";"30";"turtlesim2.sim";"1726067232.772741457";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,882395])";"30";"turtlesim3.sim";"1726067232.772165414";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,862603])";"30";"turtlesim1.sim";"1726067232.771689532";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,882395])";"30";"turtlesim2.sim";"1726067232.756088123";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,892291])";"30";"turtlesim3.sim";"1726067232.755665539";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,872499])";"30";"turtlesim1.sim";"1726067232.755056217";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,892291])";"30";"turtlesim2.sim";"1726067232.740617369";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,882395])";"30";"turtlesim1.sim";"1726067232.739483601";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,902188])";"30";"turtlesim3.sim";"1726067232.739440803";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,902188])";"30";"turtlesim2.sim";"1726067232.724891905";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,912084])";"30";"turtlesim3.sim";"1726067232.723183998";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,892291])";"30";"turtlesim1.sim";"1726067232.722921168";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,912084])";"30";"turtlesim2.sim";"1726067232.708139114";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,921980])";"30";"turtlesim3.sim";"1726067232.707383748";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,902188])";"30";"turtlesim1.sim";"1726067232.707364160";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,921980])";"30";"turtlesim2.sim";"1726067232.692459685";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,931876])";"30";"turtlesim3.sim";"1726067232.691883019";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,912084])";"30";"turtlesim1.sim";"1726067232.691800014";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,931876])";"30";"turtlesim2.sim";"1726067232.676931831";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,941772])";"30";"turtlesim3.sim";"1726067232.675757822";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,921980])";"30";"turtlesim1.sim";"1726067232.675193853";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,941772])";"30";"turtlesim2.sim";"1726067232.660251607";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,951668])";"30";"turtlesim3.sim";"1726067232.659888553";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,931876])";"30";"turtlesim1.sim";"1726067232.659599873";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,951668])";"30";"turtlesim2.sim";"1726067232.644635203";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,961564])";"30";"turtlesim3.sim";"1726067232.643840507";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,941772])";"30";"turtlesim1.sim";"1726067232.643029325";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,971460])";"30";"turtlesim3.sim";"1726067232.628138358";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,961564])";"30";"turtlesim2.sim";"1726067232.628011100";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,951668])";"30";"turtlesim1.sim";"1726067232.627454760";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,971460])";"30";"turtlesim2.sim";"1726067232.612376004";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,981356])";"30";"turtlesim3.sim";"1726067232.612001872";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,961564])";"30";"turtlesim1.sim";"1726067232.611838201";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,981356])";"30";"turtlesim2.sim";"1726067232.596733003";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,991252])";"30";"turtlesim3.sim";"1726067232.595352521";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,971460])";"30";"turtlesim1.sim";"1726067232.595195383";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,991252])";"30";"turtlesim2.sim";"1726067232.580093451";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=3,001148])";"30";"turtlesim3.sim";"1726067232.579701032";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,981356])";"30";"turtlesim1.sim";"1726067232.579611945";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=3,001148])";"30";"turtlesim2.sim";"1726067232.564533447";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=3,011045])";"30";"turtlesim3.sim";"1726067232.563593216";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,991252])";"30";"turtlesim1.sim";"1726067232.562933947";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=3,011045])";"30";"turtlesim2.sim";"1726067232.548896524";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=3,020941])";"30";"turtlesim3.sim";"1726067232.547762484";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=3,001148])";"30";"turtlesim1.sim";"1726067232.547302558";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=3,020941])";"30";"turtlesim2.sim";"1726067232.532311564";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=3,011045])";"30";"turtlesim1.sim";"1726067232.531665304";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=3,030837])";"30";"turtlesim3.sim";"1726067232.531200931";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=3,030837])";"30";"turtlesim2.sim";"1726067232.516603153";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=3,040733])";"30";"turtlesim3.sim";"1726067232.515899412";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=3,020941])";"30";"turtlesim1.sim";"1726067232.515083734";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=3,040733])";"30";"turtlesim2.sim";"1726067232.500097301";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=3,030837])";"30";"turtlesim1.sim";"1726067232.499487735";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=3,050629])";"30";"turtlesim3.sim";"1726067232.499486502";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=3,050629])";"30";"turtlesim2.sim";"1726067232.484570095";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=3,060525])";"30";"turtlesim3.sim";"1726067232.483934226";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=3,040733])";"30";"turtlesim1.sim";"1726067232.483854811";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=3,060525])";"30";"turtlesim2.sim";"1726067232.468844172";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=3,050629])";"30";"turtlesim1.sim";"1726067232.467157980";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=3,070421])";"30";"turtlesim3.sim";"1726067232.467157178";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=3,070421])";"30";"turtlesim2.sim";"1726067232.452240738";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,016963, y=3,080317])";"30";"turtlesim3.sim";"1726067232.451830253";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=3,060525])";"30";"turtlesim1.sim";"1726067232.451541089";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,016963, y=3,080317])";"30";"turtlesim2.sim";"1726067232.436572433";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=3,070421])";"30";"turtlesim1.sim";"1726067232.434926379";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,016963, y=3,080317])";"30";"turtlesim1.sim";"1726067232.419277228";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
